"","Merged","Nickname","Name","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"F606-2-37-2","Fast37","Dayne.37.3","F606-2",606,"Fast",37,"Specialist",-0.0336098967065817,1.15225733599882,0.493794788932027,0.360982673488909,-0.449634809611704
"F606-2-43","Fast43","Dayne.43.1","F606-2",606,"Fast",43,"Specialist",1.72235182668425,-0.633197079955483,1.24905413548897,0.1314579756999,0.0790603982878579
"F606-2-43-1","Fast43","Dayne.43.2","F606-2",606,"Fast",43,"Specialist",1.76987991725969,-0.70040031547226,0.776080548500232,0.0239833645875803,0.0173272058314852
"F606-2-43-2","Fast43","Dayne.43.3","F606-2",606,"Fast",43,"Specialist",1.74011840361702,-0.623492270631283,1.18944023938531,0.058336442166466,-0.0248423050414188
"R606-4-15","Random15","Egg.15.1","R606-4",606,"Random",15,"Specialist",-1.5043356971703,-0.349442441951402,0.70158713617777,-0.0930887517476296,0.0818434808977986
"R606-4-15-1","Random15","Egg.15.2","R606-4",606,"Random",15,"Specialist",-1.7398617755784,-0.398515637200886,0.338805052885128,-0.0384187395361087,-0.0135940715719784
"R606-4-15-2","Random15","Egg.15.3","R606-4",606,"Random",15,"Specialist",-2.19252217133389,-0.568095905114747,0.0864938203086905,-0.0773335601391194,-0.17768469533351
"R606-4-37","Random37","Egg.37.1","R606-4",606,"Random",37,"Specialist",0.304115742448533,0.883885849810431,-0.289055909657236,0.214907961086925,-0.0371994856698858
"R606-4-37-1","Random37","Egg.37.2","R606-4",606,"Random",37,"Specialist",0.314645186611505,0.84303825903108,-0.0630445891185653,0.164496697416964,-0.0523503024785627
"R606-4-37-2","Random37","Egg.37.3","R606-4",606,"Random",37,"Specialist",0.572821033485098,0.864207483892384,-0.52388117567647,0.228719678589954,0.10047544399202
"R606-4-43","Random43","Egg.43.1","R606-4",606,"Random",43,"Specialist",1.91621640663566,-0.188777235122284,0.888326990902094,0.878411059434514,0.424353999705023
"R606-4-43-1","Random43","Egg.43.2","R606-4",606,"Random",43,"Specialist",2.08867378555296,0.037308920940837,0.883429325437346,1.11200333293209,1.0525785091826
"R606-4-43-2","Random43","Egg.43.3","R606-4",606,"Random",43,"Specialist",2.03827922862114,-0.0893420472726559,-0.0340373175586606,0.465726005328519,0.100145718564632
"R606-1-15","Random15","Khaleesi.15.1","R606-1",606,"Random",15,"Other",-1.75705953618454,-0.311986242249894,0.0525236915103324,-0.230549738476126,0.0238656686784933
"R606-1-15-1","Random15","Khaleesi.15.2","R606-1",606,"Random",15,"Other",-1.76026154542946,-0.409677755726082,0.695778353883504,-0.267473084011554,0.0163595311517974
"R606-1-15-2","Random15","Khaleesi.15.3","R606-1",606,"Random",15,"Other",-1.53674722308831,-0.395808562491149,0.0111006225987425,-0.0706373081082924,0.203261440314856
"R606-1-37","Random37","Khaleesi.37.1","R606-1",606,"Random",37,"Other",0.270755218581056,0.607973047281668,0.0124230164008509,0.0771757950008739,-0.104116552124385
"R606-1-37-1","Random37","Khaleesi.37.2","R606-1",606,"Random",37,"Other",0.0592862485220716,0.728274049077079,-0.110233883050837,-0.00477188098939108,-0.192506359632964
"R606-1-37-2","Random37","Khaleesi.37.3","R606-1",606,"Random",37,"Other",-0.0523921010843813,0.681816426865642,-0.0209970512119463,-0.0867525790848908,-0.221602483632321
"R606-1-43","Random43","Khaleesi.43.1","R606-1",606,"Random",43,"Other",1.48587676278966,-0.574577812939443,0.0422132604737094,-0.17879196790464,-0.247624674022976
"R606-1-43-1","Random43","Khaleesi.43.2","R606-1",606,"Random",43,"Other",1.29234511837523,-0.641227455357759,-0.273059913019325,-0.358504678972686,-0.335309255853443
"R606-1-43-2","Random43","Khaleesi.43.3","R606-1",606,"Random",43,"Other",1.47473651014476,-0.432166352729861,-0.423731658638942,-0.303288210299449,-0.264796206280819
"S606-4-15","Slow15","Lyanna.15.1","S606-4",606,"Slow",15,"Generalist",-1.07795680247112,0.0158510707327028,0.47813667824051,-0.286821014115591,0.180899344935427
"S606-4-15-1","Slow15","Lyanna.15.2","S606-4",606,"Slow",15,"Generalist",-1.14307725949621,0.122675593119981,0.213191061767645,-0.268323655921019,0.134252694842542
"S606-4-15-2","Slow15","Lyanna.15.3","S606-4",606,"Slow",15,"Generalist",-1.18831655140956,0.0798999116892669,0.100598083630007,-0.354659590797373,0.0691814745305652
"S606-4-37","Slow37","Lyanna.37.1","S606-4",606,"Slow",37,"Generalist",0.365135561860379,1.04898193591244,-0.106144360697674,-0.12586988436315,-0.370709522052708
"S606-4-37-1","Slow37","Lyanna.37.2","S606-4",606,"Slow",37,"Generalist",0.405893346596712,0.914934343621387,0.154265673131094,0.0175670861549104,-0.156095811591457
"S606-4-37-2","Slow37","Lyanna.37.3","S606-4",606,"Slow",37,"Generalist",0.314686438457978,0.765481338310069,0.604498728044856,0.128635564013451,-0.0175994902008743
"S606-4-43","Slow43","Lyanna.43.1","S606-4",606,"Slow",43,"Generalist",1.76335494921622,-0.623425447990989,0.870542225432737,-0.312405598379525,-0.0492137840757644
"S606-4-43-1","Slow43","Lyanna.43.2","S606-4",606,"Slow",43,"Generalist",1.85484149530454,-0.554367134475573,0.695364240569093,-0.133686299253906,0.156807563917216
"S606-4-43-2","Slow43","Lyanna.43.3","S606-4",606,"Slow",43,"Generalist",1.82928341639996,-0.143774820377403,0.48900419628965,0.0550752466089255,-0.221728357578853
"F606-3-15","Fast15","Nymeria.15.1","F606-3",606,"Fast",15,"Specialist",-1.83512065305311,-0.290097771136068,-0.121641306549551,-0.0967271925069511,-0.0383157148584096
"F606-3-15-1","Fast15","Nymeria.15.2","F606-3",606,"Fast",15,"Specialist",-1.64826996017182,-0.408635554878305,0.47045946302007,-0.0956591521971795,0.0718310818757878
"F606-3-15-2","Fast15","Nymeria.15.3","F606-3",606,"Fast",15,"Specialist",-1.82636976763405,-0.413382669781803,0.133073637796079,-0.0446544295731853,0.0381394954948757
"F606-3-37","Fast37","Nymeria.37.1","F606-3",606,"Fast",37,"Specialist",0.0819422887292656,1.14783150969138,-0.962253276497484,-0.0266775369284818,-0.332043731886538
"F606-3-37-1","Fast37","Nymeria.37.2","F606-3",606,"Fast",37,"Specialist",0.293715302965984,1.12751370754941,-0.78462196537123,0.0157187574943626,-0.198948814818081
"F606-3-37-2","Fast37","Nymeria.37.3","F606-3",606,"Fast",37,"Specialist",0.240168373298524,1.11977903321143,-0.689397104517853,0.0719032740210476,-0.222172971685054
"F606-3-43","Fast43","Nymeria.43.1","F606-3",606,"Fast",43,"Specialist",1.15642158631236,-0.332400545407652,1.29344316310462,0.602885013434119,-0.273116404181004
"F606-3-43-1","Fast43","Nymeria.43.2","F606-3",606,"Fast",43,"Specialist",0.951733138739987,0.152811381779996,1.12201346502278,1.59715769173502,-0.323929720178783
"F606-3-43-2","Fast43","Nymeria.43.3","F606-3",606,"Fast",43,"Specialist",1.11711741278567,-0.0908850667133351,1.02070152436832,0.198313233073049,-0.206856965639226
"S606-3-15","Slow15","Ramsay.15.1","S606-3",606,"Slow",15,"Specialist",-1.03551493342143,-0.116000569512745,0.486296070555744,-0.182283810516007,0.32182491785208
"S606-3-15-1","Slow15","Ramsay.15.2","S606-3",606,"Slow",15,"Specialist",-1.43871233936412,-0.326538359079337,0.549883601396135,-0.244497898597972,0.122856668343432
"S606-3-15-2","Slow15","Ramsay.15.3","S606-3",606,"Slow",15,"Specialist",-1.73721132933576,-0.281637775660221,0.311226842636311,-0.454536903810842,0.0072909431168406
"S606-3-37","Slow37","Ramsay.37.1","S606-3",606,"Slow",37,"Specialist",-0.0851424624104002,0.724894489390127,0.300284858834655,-0.109055257270361,0.0229844247147232
"S606-3-37-1","Slow37","Ramsay.37.2","S606-3",606,"Slow",37,"Specialist",-0.137877483906084,0.780393018945625,0.397661154031954,-0.131187395957082,-0.00469713201061872
"S606-3-37-2","Slow37","Ramsay.37.3","S606-3",606,"Slow",37,"Specialist",-0.342390779129305,0.856542757174724,0.250712241995851,-0.280588062322818,-0.0348572514001153
"S606-3-43","Slow43","Ramsay.43.1","S606-3",606,"Slow",43,"Specialist",1.0684964786241,-0.524501289297584,0.178020926839366,-0.198832919797343,-0.582846291252369
"S606-3-43-1","Slow43","Ramsay.43.2","S606-3",606,"Slow",43,"Specialist",0.721603316810922,-0.613606475599986,0.513506756704829,-0.0490501695790096,-0.760725771773023
"S606-3-43-2","Slow43","Ramsay.43.3","S606-3",606,"Slow",43,"Specialist",0.878322948414913,-0.668628600017342,0.346313892096499,0.245010052231398,-0.517098702538532
"S606-1-15","Slow15","Renly.15.1","S606-1",606,"Slow",15,"Specialist",-1.39383924262761,-0.31399607145281,0.44315017782024,0.159793500434535,0.398478747277157
"S606-1-15-1","Slow15","Renly.15.2","S606-1",606,"Slow",15,"Specialist",-1.01584305578277,0.0595166202125839,0.571582204064378,-0.459456897519701,0.516767151683034
"S606-1-15-2","Slow15","Renly.15.3","S606-1",606,"Slow",15,"Specialist",-0.957751570387691,0.0324152001130373,0.240385019153055,-0.304552330257118,0.776944647935824
"S606-1-37","Slow37","Renly.37.1","S606-1",606,"Slow",37,"Specialist",0.227851564034171,0.660179607432951,0.303130694299881,0.0991377129662027,-0.13719522167347
"S606-1-37-1","Slow37","Renly.37.2","S606-1",606,"Slow",37,"Specialist",0.311853837369583,0.96053522186745,-0.264146677284007,0.175038566519793,-0.100973440154614
"S606-1-37-2","Slow37","Renly.37.3","S606-1",606,"Slow",37,"Specialist",0.348786292531844,0.737489241993263,0.490289246556247,0.168210517294995,0.0855790594209466
"S606-1-43","Slow43","Renly.43.1","S606-1",606,"Slow",43,"Specialist",1.45267381230505,-0.679121516617243,-0.206216132211309,-0.196655662551563,-0.19817674263034
"S606-1-43-1","Slow43","Renly.43.2","S606-1",606,"Slow",43,"Specialist",1.6919320548762,-0.703140588119771,-0.981473332580313,-0.206464142205566,0.0853686181725901
"S606-1-43-2","Slow43","Renly.43.3","S606-1",606,"Slow",43,"Specialist",1.34496978626876,-0.625256401972565,0.436734683517023,0.106413394469724,-0.101673408469529
"F606-1-15","Fast15","Rhaegal.15.1","F606-1",606,"Fast",15,"Specialist",-2.09859797406169,-0.516739993081844,-0.445651077302197,-0.0923902832251813,-0.107439404501105
"F606-1-15-1","Fast15","Rhaegal.15.2","F606-1",606,"Fast",15,"Specialist",-1.97970187130311,-0.587162333727451,0.106600259852837,-0.0919853615816323,-0.143172207982463
"F606-1-15-2","Fast15","Rhaegal.15.3","F606-1",606,"Fast",15,"Specialist",-1.94235099895063,-0.607804015941925,-0.133470169681365,0.0515290351654479,-0.0962040170395007
"F606-1-37","Fast37","Rhaegal.37.1","F606-1",606,"Fast",37,"Specialist",0.0992341354613384,0.720867943361391,0.16242428271719,-0.105691921238576,-0.0634338961054353
"F606-1-37-1","Fast37","Rhaegal.37.2","F606-1",606,"Fast",37,"Specialist",-0.146539257899286,0.832383653338347,-0.279742593740658,-0.158242091118481,-0.236343632902777
"F606-1-37-2","Fast37","Rhaegal.37.3","F606-1",606,"Fast",37,"Specialist",0.0217604245926385,0.815762633731996,0.0088384583073928,-0.164491984285818,0.00387892647783152
"F606-1-43","Fast43","Rhaegal.43.1","F606-1",606,"Fast",43,"Specialist",1.32926588492379,-0.486617238596734,-0.238882556150486,-0.294289335942377,-0.0878837094137646
"F606-1-43-1","Fast43","Rhaegal.43.2","F606-1",606,"Fast",43,"Specialist",1.32882678839129,-0.84471671055096,0.0660127284906748,-0.488364554888867,-0.704257744201994
"F606-1-43-2","Fast43","Rhaegal.43.3","F606-1",606,"Fast",43,"Specialist",1.3986620600775,-0.87574214520692,0.416924866709361,-0.26893570981018,-0.364593400269067
"R606-2-15","Random15","Shiera.15.1","R606-2",606,"Random",15,"Specialist",-0.887576598187435,0.169477613971358,0.10084030507432,-0.379658502650783,0.414932710337657
"R606-2-15-1","Random15","Shiera.15.2","R606-2",606,"Random",15,"Specialist",-0.644553067404051,0.204362241247566,-0.0140381195899241,-0.254986654100027,0.434152375674957
"R606-2-15-2","Random15","Shiera.15.3","R606-2",606,"Random",15,"Specialist",-0.908188530017586,0.0946092807259139,0.308307282473037,-0.361500916865489,0.434342925494393
"R606-2-37","Random37","Shiera.37.1","R606-2",606,"Random",37,"Specialist",0.252350048323237,0.854139074214864,0.310359789149514,0.101689232051213,-0.0332349450024161
"R606-2-37-1","Random37","Shiera.37.2","R606-2",606,"Random",37,"Specialist",0.373347701629313,1.03387097304362,-0.202379664649101,-0.0241306774234238,0.0115966410594559
"R606-2-37-2","Random37","Shiera.37.3","R606-2",606,"Random",37,"Specialist",0.267888447041618,1.11222222516509,-0.00398123604737991,-0.0368451189533385,-0.0750629211410541
"R606-2-43","Random43","Shiera.43.1","R606-2",606,"Random",43,"Specialist",1.20919463924747,-0.67821487283445,-0.886261629051839,0.250969567350043,0.633827206582255
"R606-2-43-1","Random43","Shiera.43.2","R606-2",606,"Random",43,"Specialist",1.25680151865843,-0.458905806737589,-2.00717833589089,0.461988199624143,0.736829653885148
"R606-2-43-2","Random43","Shiera.43.3","R606-2",606,"Random",43,"Specialist",1.18234967985171,-0.581164127074516,-1.03653828517089,0.500485085566121,0.676294472845404
"F606-4-15","Fast15","Stannis.15.1","F606-4",606,"Fast",15,"Specialist",-1.90692895159784,-0.566505899715504,-0.27766811183042,0.0978895583375257,-0.0795189636670196
"F606-4-15-1","Fast15","Stannis.15.2","F606-4",606,"Fast",15,"Specialist",-1.85530486686374,-0.562182536452477,0.191804628259023,0.00169135938654492,-0.0349414772510351
"F606-4-15-2","Fast15","Stannis.15.3","F606-4",606,"Fast",15,"Specialist",-1.70373421016431,-0.501947936616597,0.377593759570498,-0.00294193458081055,0.0951053653359079
"F606-4-37","Fast37","Stannis.37.1","F606-4",606,"Fast",37,"Specialist",0.147654423981355,0.872970077808034,-0.373967065517022,0.0615856513374141,-0.123947874667476
"F606-4-37-1","Fast37","Stannis.37.2","F606-4",606,"Fast",37,"Specialist",0.150696455307647,0.675631095559329,0.277846675764107,-0.0339994358838974,-0.229474447760525
"F606-4-37-2","Fast37","Stannis.37.3","F606-4",606,"Fast",37,"Specialist",0.381802575935035,0.679654168499705,0.163910455623686,0.0935279563213368,-0.0962295652409929
"F606-4-43","Fast43","Stannis.43.1","F606-4",606,"Fast",43,"Specialist",1.42074782643413,-0.463906276326876,-0.527676352341384,-0.182417153235138,0.225622498853836
"F606-4-43-1","Fast43","Stannis.43.2","F606-4",606,"Fast",43,"Specialist",1.49352235369175,-0.27056306707662,-0.701164258457383,-0.375110407628401,0.116482878730667
"F606-4-43-2","Fast43","Stannis.43.3","F606-4",606,"Fast",43,"Specialist",1.60788186902951,-0.277981667999218,-0.90048660460964,-0.17929068557097,0.0918525205981891
"R606-3-15","Random15","Thoros.15.1","R606-3",606,"Random",15,"Other",-1.01603503297858,0.512735897485047,0.0498554638081279,-0.126082910674435,0.923184364901917
"R606-3-15-1","Random15","Thoros.15.2","R606-3",606,"Random",15,"Other",-0.795321541025995,0.120971451019898,0.338338262249517,-0.010445260470054,0.939888597812635
"R606-3-15-2","Random15","Thoros.15.3","R606-3",606,"Random",15,"Other",-0.668795750419389,0.363839802255185,-0.256489646666919,-0.230316566563427,0.67458408681438
"R606-3-37","Random37","Thoros.37.1","R606-3",606,"Random",37,"Other",-0.0828684237794441,0.845784765754437,-0.172117194256573,-0.183535874591133,0.0459164120193898
"R606-3-37-1","Random37","Thoros.37.2","R606-3",606,"Random",37,"Other",0.142707832999099,0.943402289657208,-0.336630592778689,-0.121202160199192,0.109105313728071
"R606-3-37-2","Random37","Thoros.37.3","R606-3",606,"Random",37,"Other",0.11024095263964,1.13367834577306,-0.450426523940574,-0.0661815995809837,0.0972952122133337
"R606-3-43","Random43","Thoros.43.1","R606-3",606,"Random",43,"Other",1.49681970590852,-0.589728188455485,-0.370100017680957,-0.230997174256174,0.224680619876371
"R606-3-43-1","Random43","Thoros.43.2","R606-3",606,"Random",43,"Other",1.29751627358163,-0.589769436258192,0.0177674269785361,-0.394205121927608,-0.008514067272232
"R606-3-43-2","Random43","Thoros.43.3","R606-3",606,"Random",43,"Other",1.01866897456387,-0.643509462350747,0.245783097429755,-0.0865603776275635,0.280745279900377
